iter,f1_macro,f1_micro
0,0.17902,0.23812
50,0.18029,0.23573
100,0.18094,0.23468
150,0.18213,0.23408
200,0.1854,0.23588
250,0.18654,0.23603
300,0.18576,0.23423
350,0.18501,0.23303
400,0.18565,0.23213
450,0.18687,0.23303
500,0.18702,0.23228
550,0.18858,0.23363
600,0.18813,0.23288
650,0.18893,0.23333
700,0.18862,0.23273
750,0.18899,0.23303
800,0.18851,0.23228
850,0.1885,0.23228
900,0.18903,0.23303
950,0.18892,0.23303
1000,0.18902,0.23303
1050,0.18906,0.23303
1100,0.18922,0.23333
1150,0.18859,0.23258
1200,0.1889,0.23318
1250,0.18985,0.23453
1300,0.18982,0.23468
1350,0.18945,0.23423
1400,0.18968,0.23438
1450,0.18956,0.23453
1500,0.18949,0.23423
1550,0.18948,0.23423
1600,0.18983,0.23483
1650,0.18981,0.23498
1700,0.19001,0.23498
1750,0.19072,0.23588
1800,0.19051,0.23573
1850,0.19108,0.23663
1900,0.19103,0.23663
1950,0.19106,0.23678
2000,0.1919,0.23767
2050,0.19166,0.23737
2100,0.1917,0.23752
2150,0.19174,0.23767
2200,0.19221,0.23812
2250,0.19257,0.23857
2300,0.19284,0.23902
2350,0.19332,0.23947
2400,0.19303,0.23902
2450,0.19282,0.23872
2500,0.19321,0.23932
2550,0.1933,0.23947
2600,0.19353,0.23962
2650,0.19302,0.23887
2700,0.19259,0.23827
2750,0.19365,0.23902
2800,0.19388,0.23932
2850,0.19353,0.23887
2900,0.19367,0.23917
2950,0.19354,0.23902
3000,0.19297,0.23842
3050,0.19273,0.23827
3100,0.19262,0.23827
3150,0.19236,0.23797
3200,0.19235,0.23797
3250,0.19236,0.23797
3300,0.19259,0.23827
3350,0.19293,0.23857
3400,0.19271,0.23842
3450,0.19282,0.23857
3500,0.19275,0.23842
3550,0.19294,0.23872
3600,0.1929,0.23872
3650,0.19321,0.23917
