iter,f1_macro,f1_micro
0,0.16329,0.21864
50,0.16695,0.22314
100,0.17071,0.22673
150,0.17381,0.22823
200,0.17642,0.23063
250,0.17814,0.23243
300,0.17968,0.23393
350,0.18067,0.23438
400,0.18195,0.23528
450,0.18232,0.23528
500,0.18237,0.23498
550,0.18245,0.23453
600,0.18361,0.23573
650,0.18381,0.23573
700,0.18437,0.23633
750,0.18466,0.23633
800,0.18483,0.23648
850,0.1847,0.23603
900,0.18423,0.23558
950,0.18416,0.23543
1000,0.1841,0.23543
1050,0.18429,0.23573
1100,0.18405,0.23528
1150,0.18387,0.23498
1200,0.18346,0.23483
1250,0.18339,0.23468
1300,0.1838,0.23513
1350,0.18375,0.23483
1400,0.184,0.23468
1450,0.18405,0.23468
1500,0.18408,0.23468
1550,0.18413,0.23468
1600,0.18434,0.23498
1650,0.18393,0.23468
1700,0.18377,0.23438
1750,0.18346,0.23393
1800,0.1833,0.23378
1850,0.18333,0.23363
1900,0.18256,0.23303
1950,0.18278,0.23333
2000,0.1824,0.23273
2050,0.182,0.23213
2100,0.18206,0.23228
2150,0.1819,0.23183
2200,0.18226,0.23213
2250,0.18276,0.23273
2300,0.18257,0.23243
2350,0.18277,0.23243
2400,0.18206,0.23153
2450,0.18196,0.23138
2500,0.18194,0.23138
2550,0.18155,0.23108
2600,0.18149,0.23078
2650,0.18149,0.23078
2700,0.18142,0.23063
