iter,f1_macro,f1_micro
0,0.22348,0.22673
50,0.2298,0.23633
100,0.23598,0.24622
150,0.24107,0.25536
200,0.245,0.26225
250,0.24855,0.26825
300,0.24977,0.27169
350,0.2534,0.27784
400,0.25558,0.28128
450,0.25809,0.28608
500,0.26244,0.29117
550,0.26576,0.29597
600,0.26739,0.29912
650,0.26774,0.30031
700,0.26873,0.30256
750,0.2695,0.30481
800,0.27054,0.30661
850,0.27179,0.30736
900,0.2722,0.30871
950,0.27251,0.30931
1000,0.27317,0.31051
1050,0.2737,0.31095
1100,0.27416,0.3117
1150,0.27444,0.31245
1200,0.27462,0.31305
1250,0.27487,0.31365
1300,0.27533,0.3144
1350,0.27577,0.31515
1400,0.27608,0.31545
1450,0.27598,0.31545
1500,0.27593,0.31545
1550,0.27643,0.3162
1600,0.27622,0.3162
