iter,f1_macro,f1_micro
0,0.16303,0.24831
50,0.16303,0.23573
100,0.16845,0.23123
150,0.16939,0.22389
200,0.17071,0.21909
250,0.17149,0.21609
300,0.17193,0.214
350,0.17328,0.2125
400,0.17158,0.20845
450,0.17125,0.20635
500,0.16964,0.20366
550,0.17071,0.20381
600,0.17238,0.20471
650,0.17278,0.20441
700,0.17248,0.20381
750,0.1722,0.20336
800,0.17146,0.20201
850,0.17125,0.20141
900,0.17071,0.20051
950,0.17051,0.19991
1000,0.17042,0.19976
1050,0.17051,0.19991
1100,0.17035,0.19961
1150,0.17043,0.19946
1200,0.17041,0.19901
1250,0.17032,0.19886
1300,0.17076,0.19916
1350,0.17056,0.19901
1400,0.17051,0.19901
1450,0.17064,0.19901
1500,0.17079,0.19886
1550,0.16997,0.19781
1600,0.17001,0.19781
1650,0.16969,0.19736
1700,0.1697,0.19736
1750,0.17007,0.19781
1800,0.17027,0.19796
1850,0.16961,0.19721
1900,0.16953,0.19691
1950,0.16953,0.19691
2000,0.16982,0.19736
2050,0.17041,0.19811
2100,0.17079,0.19841
2150,0.17042,0.19781
2200,0.17052,0.19796
2250,0.17054,0.19796
2300,0.17041,0.19781
2350,0.17053,0.19826
2400,0.17113,0.19886
2450,0.17083,0.19841
2500,0.17071,0.19826
2550,0.17034,0.19766
2600,0.17052,0.19781
2650,0.17077,0.19796
2700,0.17086,0.19811
2750,0.17066,0.19781
2800,0.17038,0.19751
2850,0.17052,0.19751
2900,0.17033,0.19706
2950,0.17011,0.19676
3000,0.17011,0.19676
